web_scraper_order,web_scraper_start_url,rooms_raw,address_raw,price_raw,description_raw,text_raw
"1765037170-214","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn15","4.5 Zimmer","Kanalstrasse 12, 5734 Reinach AG","CHF 2’660.– / Monat","Profitieren Sie jetzt vom NEUJAHR-SPECIAL!","Balkon / Terrasse
    
Garage
    
Lift+4CHF 2’660.– / MonatPremium
  
4.5 Zimmer113m² Wohnfläche
  
Kanalstrasse 12, 5734 Reinach AGProfitieren Sie jetzt vom NEUJAHR-SPECIAL!Willkommen in der sandgass.ch. NEUJAHR-SPECIAL - Unterzeichnen Sie den Mietvertrag zwischen dem 05.12.2025 und dem 31.01.2026 und profitieren Sie von einem geschenkten Monats-Nettomietzins!In Reinach AG entstehen vier attraktive Mehrfamilienhäuser mit 32 Mietwohnungen und 27 Eigentumswohnungen im Minergie-P-Standard. Die Mietwohnungen haben einen Wohnungsmix aus 1½- bis 4½-Zimmern. Die Nähe zu Bahnhof, Einkauf und Schulen bietet idealen Wohnraum für Alleinstehende, Paare oder Familien.Geniessen Sie folgenden Komfort in der sandgass.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Granit • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Unterbaumöbel, Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten und Aussensteckdose • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 140.- • L-Tiefgaragenparkplatz CHF/Monat 155.- • XL-Tiefgaragenparkplatz CHF/Monat 170.- • E-Mobile Ladestationen (Preis auf Anfrage) Mit dem Bezug der Wohnungen kann voraussichtlich ab Sommer/Herbst 2026 gerechnet werden. Da sich diese derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen.Die Visualisierungen sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen.Weitere Informationen erhalten Sie unter: www.sandgass.ch.Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+4"
"1765037170-215","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn15","2.5 Zimmer","Kanalstrasse 6, 5734 Reinach AG","CHF 1’720.– / Monat","Attraktive Neubauwohnung im Minergie-P-Standard","Balkon / Terrasse
    
Garage
    
Lift+4CHF 1’720.– / MonatPremium
  
2.5 Zimmer70m² Wohnfläche
  
Kanalstrasse 6, 5734 Reinach AGAttraktive Neubauwohnung im Minergie-P-StandardWillkommen in der sandgass.ch. NEUJAHR-SPECIAL - Unterzeichnen Sie den Mietvertrag zwischen dem 05.12.2025 und dem 31.01.2026 und profitieren Sie von einem geschenkten Monats-Nettomietzins!In Reinach AG entstehen vier attraktive Mehrfamilienhäuser mit 32 Mietwohnungen und 27 Eigentumswohnungen im Minergie-P-Standard. Die Mietwohnungen haben einen Wohnungsmix aus 1½- bis 4½-Zimmern. Die Nähe zu Bahnhof, Einkauf und Schulen bietet idealen Wohnraum für Alleinstehende, Paare oder Familien.Geniessen Sie folgenden Komfort in der sandgass.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Granit • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Unterbaumöbel, Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten und Aussensteckdose • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 140.- • L-Tiefgaragenparkplatz CHF/Monat 155.- • XL-Tiefgaragenparkplatz CHF/Monat 170.- • E-Mobile Ladestationen (Preis auf Anfrage) Mit dem Bezug der Wohnungen kann voraussichtlich ab Sommer/Herbst 2026 gerechnet werden. Da sich diese derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen.Die Visualisierungen sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen.Weitere Informationen erhalten Sie unter: www.sandgass.ch.Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+4"
"1765037170-216","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn15","1.5 Zimmer","Kanalstrasse 6, 5734 Reinach AG","CHF 1’620.– / Monat","1 Monats-Nettomietzins geschenkt!","Balkon / Terrasse
    
Garage
    
Lift+4CHF 1’620.– / MonatPremium
  
1.5 Zimmer62m² Wohnfläche
  
Kanalstrasse 6, 5734 Reinach AG1 Monats-Nettomietzins geschenkt!Willkommen in der sandgass.ch. NEUJAHR-SPECIAL - Unterzeichnen Sie den Mietvertrag zwischen dem 05.12.2025 und dem 31.01.2026 und profitieren Sie von einem geschenkten Monats-Nettomietzins!In Reinach AG entstehen vier attraktive Mehrfamilienhäuser mit 32 Mietwohnungen und 27 Eigentumswohnungen im Minergie-P-Standard. Die Mietwohnungen haben einen Wohnungsmix aus 1½- bis 4½-Zimmern. Die Nähe zu Bahnhof, Einkauf und Schulen bietet idealen Wohnraum für Alleinstehende, Paare oder Familien.Geniessen Sie folgenden Komfort in der sandgass.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Granit • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Unterbaumöbel, Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten und Aussensteckdose • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 140.- • L-Tiefgaragenparkplatz CHF/Monat 155.- • XL-Tiefgaragenparkplatz CHF/Monat 170.- • E-Mobile Ladestationen (Preis auf Anfrage) Mit dem Bezug der Wohnungen kann voraussichtlich ab Sommer/Herbst 2026 gerechnet werden. Da sich diese derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen.Die Visualisierungen sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen.Weitere Informationen erhalten Sie unter: www.sandgass.ch.Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+4"
"1765037174-217","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn14","2.5 Zimmer","Holunderweg 12, 5504 Othmarsingen","CHF 1’800.– / Monat","Optimales Wohngefühl in Othmarsingen - mattenpark.ch","Balkon / Terrasse
    
Garage
    
Lift+2CHF 1’800.– / MonatPremium
  
2.5 Zimmer60m² Wohnfläche
  
Holunderweg 12, 5504 OthmarsingenOptimales Wohngefühl in Othmarsingen - mattenpark.chWillkommen im mattenpark.ch.""Z'Othmissingen"" entstehen 100 Miet- und 71 Eigentumswohnungen. In der ersten Etappe wurden bereits 40 Mietwohnungen realisiert. In der zweiten Etappe des Projekts entsteht ein weiteres vielfältiges Wohnangebot mit 60 modernen Mietwohnungen von 1½- bis 5½-Zimmern.Geniessen Sie folgenden Komfort im mattenpark.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Granit • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Unterbaumöbel, Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Reduit mit keramischen Platten und viel Stauraum • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten, Aussensteckdose und Deckeneinbauspot • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 130.- • E-Mobile Ladestationen (Preis auf Anfrage) Die Fotos sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen.Bezugstermine: • Holunderweg 10/12: 01. April 2026 • Lenzburgerstrasse 6: voraussichtlich Sommer 2026 • Lilienweg 2/4: voraussichtlich Frühling 2027 Da sich die Wohnungen derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen. Weitere Informationen erhalten Sie unter: www.mattenpark.ch. Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+2"
"1765037174-218","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn14","2.5 Zimmer","Jungfraustrasse 8, 4665 Küngoldingen","CHF 1’450.– / Monat","Neubauwohnungen im schönen Küngoldingen!","Balkon / Terrasse
    
Garage
    
Lift+3CHF 1’450.– / MonatPremium
  
2.5 Zimmer55m² Wohnfläche
  
Jungfraustrasse 8, 4665 KüngoldingenNeubauwohnungen im schönen Küngoldingen!Willkommen im küngoldpark.ch. In Küngoldingen AG entstehen vier attraktive Mehrfamilienhäuser mit 70 Mietwohnungen und 30 Eigentumswohnungen im Minergie-P-Standard. Die Mietwohnungen haben einen Wohnungsmix aus 2½- bis 4½-Zimmern. Die Nähe zu Bahnhof, Einkauf und Schulen bietet idealen Wohnraum für Alleinstehende, Paare oder Familien. Geniessen Sie folgenden Komfort im küngoldpark.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Kunststein • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten und Aussensteckdose • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 140.- • XL-Tiefgaragenparkplatz CHF/Monat 170.- • E-Mobile Ladestationen (Preis auf Anfrage) Mit dem Bezug der Wohnungen kann voraussichtlich ab Herbst/Winter 2026/2027 gerechnet werden. Da sich diese derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen. Die Visualisierungen sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen. Weitere Informationen erhalten Sie unter: www.küngoldpark.ch. Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+3"
"1765037174-219","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn14","4.5 Zimmer","Bremgarterstrasse 17, 5525 Fischbach-Göslikon","CHF 2’880.– / Monat","Zeitgenössischer Wohnkomfort vereint mit historischem Charme","Balkon / TerrasseCHF 2’880.– / MonatPremium
  
4.5 Zimmer143m² Wohnfläche
  
Bremgarterstrasse 17, 5525 Fischbach-GöslikonZeitgenössischer Wohnkomfort vereint mit historischem CharmeWohnen nahe der Reuss - widacher-quartier.ch In der schönen Gemeinde Fischbach-Göslikon sind drei Wohnungen im denkmalgeschützten Gebäude der ehemaligen Post entstanden. Die 3½- und 4½-Zimmerwohnungen sind im Inneren kernsaniert, während das Gebäude äusserlich nahezu unverändert geblieben ist. Die zentrale Lage sowie die kurze Distanz zu Naherholungsgebieten machen das ""widacher-quartier.ch"" zu einer attraktiven Wohnadresse. Beim Ausbau der Wohnungen wurde viel Wert auf Funktionalität und Ästhetik gelegt. Hier ist zeitgenössischer Wohnkomfort mit historischem Charme entstanden.Durchdachte Grundrisse mit hellen Wohnräumen, edlen Parkettböden, modernen Küchen und eigenen Waschtürmen garantieren ein optimales Wohngefühl. Die Wohnungen sind per sofort bezugsbereit und können vor Ort besichtigt werden. Gerne dürfen Sie sich für einen Besichtigungstermin telefonisch unter 071 844 66 25 bei uns melden.Die detaillierten Vermarktungsunterlagen ""Alte Post"" sowie weitere Informationen finden Sie auf www.widacher-quartier.ch .Für Auskünfte stehen wir Ihnen gerne zur Verfügung und freuen uns auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse"
"1765037174-220","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn14","4.5 Zimmer","Kanalstrasse 12, 5734 Reinach AG","CHF 2’660.– / Monat","Profitieren Sie jetzt vom NEUJAHR-SPECIAL!","Balkon / Terrasse
    
Garage
    
Lift+4CHF 2’660.– / MonatPremium
  
4.5 Zimmer113m² Wohnfläche
  
Kanalstrasse 12, 5734 Reinach AGProfitieren Sie jetzt vom NEUJAHR-SPECIAL!Willkommen in der sandgass.ch. NEUJAHR-SPECIAL - Unterzeichnen Sie den Mietvertrag zwischen dem 05.12.2025 und dem 31.01.2026 und profitieren Sie von einem geschenkten Monats-Nettomietzins!In Reinach AG entstehen vier attraktive Mehrfamilienhäuser mit 32 Mietwohnungen und 27 Eigentumswohnungen im Minergie-P-Standard. Die Mietwohnungen haben einen Wohnungsmix aus 1½- bis 4½-Zimmern. Die Nähe zu Bahnhof, Einkauf und Schulen bietet idealen Wohnraum für Alleinstehende, Paare oder Familien.Geniessen Sie folgenden Komfort in der sandgass.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Granit • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Unterbaumöbel, Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten und Aussensteckdose • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 140.- • L-Tiefgaragenparkplatz CHF/Monat 155.- • XL-Tiefgaragenparkplatz CHF/Monat 170.- • E-Mobile Ladestationen (Preis auf Anfrage) Mit dem Bezug der Wohnungen kann voraussichtlich ab Sommer/Herbst 2026 gerechnet werden. Da sich diese derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen.Die Visualisierungen sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen.Weitere Informationen erhalten Sie unter: www.sandgass.ch.Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+4"
"1765037174-221","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn14","2.5 Zimmer","Kanalstrasse 6, 5734 Reinach AG","CHF 1’720.– / Monat","Attraktive Neubauwohnung im Minergie-P-Standard","Balkon / Terrasse
    
Garage
    
Lift+4CHF 1’720.– / MonatPremium
  
2.5 Zimmer70m² Wohnfläche
  
Kanalstrasse 6, 5734 Reinach AGAttraktive Neubauwohnung im Minergie-P-StandardWillkommen in der sandgass.ch. NEUJAHR-SPECIAL - Unterzeichnen Sie den Mietvertrag zwischen dem 05.12.2025 und dem 31.01.2026 und profitieren Sie von einem geschenkten Monats-Nettomietzins!In Reinach AG entstehen vier attraktive Mehrfamilienhäuser mit 32 Mietwohnungen und 27 Eigentumswohnungen im Minergie-P-Standard. Die Mietwohnungen haben einen Wohnungsmix aus 1½- bis 4½-Zimmern. Die Nähe zu Bahnhof, Einkauf und Schulen bietet idealen Wohnraum für Alleinstehende, Paare oder Familien.Geniessen Sie folgenden Komfort in der sandgass.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Granit • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Unterbaumöbel, Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten und Aussensteckdose • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 140.- • L-Tiefgaragenparkplatz CHF/Monat 155.- • XL-Tiefgaragenparkplatz CHF/Monat 170.- • E-Mobile Ladestationen (Preis auf Anfrage) Mit dem Bezug der Wohnungen kann voraussichtlich ab Sommer/Herbst 2026 gerechnet werden. Da sich diese derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen.Die Visualisierungen sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen.Weitere Informationen erhalten Sie unter: www.sandgass.ch.Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+4"
"1765037174-222","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn14","1.5 Zimmer","Kanalstrasse 6, 5734 Reinach AG","CHF 1’620.– / Monat","1 Monats-Nettomietzins geschenkt!","Balkon / Terrasse
    
Garage
    
Lift+4CHF 1’620.– / MonatPremium
  
1.5 Zimmer62m² Wohnfläche
  
Kanalstrasse 6, 5734 Reinach AG1 Monats-Nettomietzins geschenkt!Willkommen in der sandgass.ch. NEUJAHR-SPECIAL - Unterzeichnen Sie den Mietvertrag zwischen dem 05.12.2025 und dem 31.01.2026 und profitieren Sie von einem geschenkten Monats-Nettomietzins!In Reinach AG entstehen vier attraktive Mehrfamilienhäuser mit 32 Mietwohnungen und 27 Eigentumswohnungen im Minergie-P-Standard. Die Mietwohnungen haben einen Wohnungsmix aus 1½- bis 4½-Zimmern. Die Nähe zu Bahnhof, Einkauf und Schulen bietet idealen Wohnraum für Alleinstehende, Paare oder Familien.Geniessen Sie folgenden Komfort in der sandgass.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Granit • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Unterbaumöbel, Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten und Aussensteckdose • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 140.- • L-Tiefgaragenparkplatz CHF/Monat 155.- • XL-Tiefgaragenparkplatz CHF/Monat 170.- • E-Mobile Ladestationen (Preis auf Anfrage) Mit dem Bezug der Wohnungen kann voraussichtlich ab Sommer/Herbst 2026 gerechnet werden. Da sich diese derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen.Die Visualisierungen sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen.Weitere Informationen erhalten Sie unter: www.sandgass.ch.Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+4"
"1765037177-223","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn13","2.5 Zimmer","Holunderweg 12, 5504 Othmarsingen","CHF 1’800.– / Monat","Optimales Wohngefühl in Othmarsingen - mattenpark.ch","Balkon / Terrasse
    
Garage
    
Lift+2CHF 1’800.– / MonatPremium
  
2.5 Zimmer60m² Wohnfläche
  
Holunderweg 12, 5504 OthmarsingenOptimales Wohngefühl in Othmarsingen - mattenpark.chWillkommen im mattenpark.ch.""Z'Othmissingen"" entstehen 100 Miet- und 71 Eigentumswohnungen. In der ersten Etappe wurden bereits 40 Mietwohnungen realisiert. In der zweiten Etappe des Projekts entsteht ein weiteres vielfältiges Wohnangebot mit 60 modernen Mietwohnungen von 1½- bis 5½-Zimmern.Geniessen Sie folgenden Komfort im mattenpark.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Granit • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Unterbaumöbel, Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Reduit mit keramischen Platten und viel Stauraum • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten, Aussensteckdose und Deckeneinbauspot • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 130.- • E-Mobile Ladestationen (Preis auf Anfrage) Die Fotos sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen.Bezugstermine: • Holunderweg 10/12: 01. April 2026 • Lenzburgerstrasse 6: voraussichtlich Sommer 2026 • Lilienweg 2/4: voraussichtlich Frühling 2027 Da sich die Wohnungen derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen. Weitere Informationen erhalten Sie unter: www.mattenpark.ch. Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+2"
"1765037177-224","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn13","2.5 Zimmer","Jungfraustrasse 8, 4665 Küngoldingen","CHF 1’450.– / Monat","Neubauwohnungen im schönen Küngoldingen!","Balkon / Terrasse
    
Garage
    
Lift+3CHF 1’450.– / MonatPremium
  
2.5 Zimmer55m² Wohnfläche
  
Jungfraustrasse 8, 4665 KüngoldingenNeubauwohnungen im schönen Küngoldingen!Willkommen im küngoldpark.ch. In Küngoldingen AG entstehen vier attraktive Mehrfamilienhäuser mit 70 Mietwohnungen und 30 Eigentumswohnungen im Minergie-P-Standard. Die Mietwohnungen haben einen Wohnungsmix aus 2½- bis 4½-Zimmern. Die Nähe zu Bahnhof, Einkauf und Schulen bietet idealen Wohnraum für Alleinstehende, Paare oder Familien. Geniessen Sie folgenden Komfort im küngoldpark.ch: • Garderobe mit Einbauschrank • Wohn- und Schlafzimmer mit hochwertigem Parkettboden • Offene Küche mit Induktionskochfeld, Geschirrspüler, Kombi Steamer/Backofen, genügend Stauraum und Arbeitsflächen aus Kunststein • Nassraum mit pflegeleichtem Plattenboden, Lavabo mit Spiegelschrank, WC, Dusche/Badewanne und Glastrennwand • Eigene Waschmaschine und Trockner in der Wohnung • Aussenbereich mit keramischen Platten und Aussensteckdose • Eigenes Kellerabteil mit Stromanschluss • Lift, Trocknungsraum, Veloabstellplatz, Besucherparkplätze und eine Entsorgungsstelle zur Mitbenutzung • Tiefgaragenparkplatz CHF/Monat 140.- • XL-Tiefgaragenparkplatz CHF/Monat 170.- • E-Mobile Ladestationen (Preis auf Anfrage) Mit dem Bezug der Wohnungen kann voraussichtlich ab Herbst/Winter 2026/2027 gerechnet werden. Da sich diese derzeit noch im Bau befinden, sind Besichtigungen leider nicht möglich. Die Vermietung erfolgt daher auf Basis der vorliegenden Pläne und Unterlagen. Die Visualisierungen sind Beispielbilder und können vom Grundriss dieser Wohnung abweichen. Weitere Informationen erhalten Sie unter: www.küngoldpark.ch. Frau Daria Bienz (Tel. +41 71 844 66 25 / daria.bienz@fortimo.ch) freut sich auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse
    
Garage
    
Lift+3"
"1765037177-225","https://www.homegate.ch/mieten/wohnung/uk-wohnung,maisonette-duplex,attikawohnung/kanton-aargau/trefferliste?aw=APPT,10:APPT,4:APPT,5:APPT,8?pn13","4.5 Zimmer","Bremgarterstrasse 17, 5525 Fischbach-Göslikon","CHF 2’880.– / Monat","Zeitgenössischer Wohnkomfort vereint mit historischem Charme","Balkon / TerrasseCHF 2’880.– / MonatPremium
  
4.5 Zimmer143m² Wohnfläche
  
Bremgarterstrasse 17, 5525 Fischbach-GöslikonZeitgenössischer Wohnkomfort vereint mit historischem CharmeWohnen nahe der Reuss - widacher-quartier.ch In der schönen Gemeinde Fischbach-Göslikon sind drei Wohnungen im denkmalgeschützten Gebäude der ehemaligen Post entstanden. Die 3½- und 4½-Zimmerwohnungen sind im Inneren kernsaniert, während das Gebäude äusserlich nahezu unverändert geblieben ist. Die zentrale Lage sowie die kurze Distanz zu Naherholungsgebieten machen das ""widacher-quartier.ch"" zu einer attraktiven Wohnadresse. Beim Ausbau der Wohnungen wurde viel Wert auf Funktionalität und Ästhetik gelegt. Hier ist zeitgenössischer Wohnkomfort mit historischem Charme entstanden.Durchdachte Grundrisse mit hellen Wohnräumen, edlen Parkettböden, modernen Küchen und eigenen Waschtürmen garantieren ein optimales Wohngefühl. Die Wohnungen sind per sofort bezugsbereit und können vor Ort besichtigt werden. Gerne dürfen Sie sich für einen Besichtigungstermin telefonisch unter 071 844 66 25 bei uns melden.Die detaillierten Vermarktungsunterlagen ""Alte Post"" sowie weitere Informationen finden Sie auf www.widacher-quartier.ch .Für Auskünfte stehen wir Ihnen gerne zur Verfügung und freuen uns auf Ihre Kontaktaufnahme!
    
Balkon / Terrasse"
